tag,kurzbeschreibung,typ,param
ELI5,Erkläre in einfacher Sprache,ohne Fachjargon,style,
TLDR,Fasse die Kernaussage in 1-3 Sätzen zusammen,summary,max_sentences=3
StepByStep,Schritt-für-Schritt-Anleitung oder Herleitung,process,
SWOT,SWOT-Analyse: Stärken, Schwächen, Chancen, Risiken,analysis,
Compare,Systematischer Vergleich mehrerer Optionen,analysis,criteria=none
ProsCons,Vorteile und Nachteile auflisten,analysis,
Outline,Gib eine Gliederung / Struktur für ein Dokument,structure,levels=3
Framework,Baue ein theoretisches Gerüst oder Modell,structure,
ZoomIn,Fokussiere auf einen Detailaspekt,focus,
ZoomOut,Gib eine Makroperspektive / Überblick,focus,
ChainOfThought,Denke Schritt für Schritt und zeige Zwischenschritte,reasoning,show_steps=true
TreeOfThought,Analysiere mehrere Denkpfade parallel,reasoning,branches=3
Critique,Hinterfrage Annahmen und Schwachstellen,analysis,
CounterArguments,Präsentiere Gegenpositionen,analysis,
Derive,Führe eine mathematische Herleitung durch,math,show_steps=true
Equation,Gib relevante Gleichungen und erkläre Variablen,math,
UnitsCheck,Prüfe Einheiten und Dimensionskonsistenz,validation,
Assumptions,Liste und bewerte Modellannahmen,meta,
Limitations,Zeige Beschränkungen des Modells,meta,
Optimize,Formuliere eine Optimierungsaufgabe,opt,
Sensitivity,Führe eine Sensitivitätsanalyse durch,analysis,
MonteCarlo,Schlage einen Monte-Carlo-Ansatz vor,stochastic,samples=10000
Simulate,Beschreibe Simulationsaufbau und Randbedingungen,simulation,
Algorithm,Beschreibe Algorithmus oder Pseudocode,code,
PseudoCode,Gib Pseudocode für einen Algorithmus,code,
Complexity,Analysiere Zeit- und Speicherkomplexität,analysis,
Flowchart,Erzeuge ein textuelles Ablaufdiagramm,diagram,
DataFrame,Strukturiere tabellarische Messdaten,data,columns=
Graph,Beschreibe eine grafische Darstellung (Achsen, Legende),visual,
LaTeX,Formatiere mathematische Ausdrücke in LaTeX,formatting,
ExplainPhysically,Erläutere physikalische Intuition hinter Effekten,explain,
RealWorldExample,Gebe ein konkretes Praxisbeispiel,example,
HistoricalContext,Beschreibe die Entwicklungsgeschichte,context,
FutureOutlook,Gebe einen Ausblick und Trends,context,
LimitCase,Untersuche Grenzfälle (z.B. Re→∞),analysis,
Interdisciplinary,Verknüpfe Disziplinen und Konzepte,context,
Refs,Liefer Literaturhinweise und weiterführende Quellen,meta,style=apa
Summary,Fasse die Analyse am Ende kompakt zusammen,summary,max_sentences=5
Storyboard,Gliedere als chronologische Erzählung (Projektverlauf),structure,
